pl,en,es,fr,ko,zh,ru,ja,pl
NURSE_01_A_01,"Well well, what am I seeing? Are my eyes deceiving me?","Bueno bueno, pero ¿qué estoy viendo? Serán mis ojos que me engañan…",,,,,,
NURSE_01_A_02,Could it be...? My new companion?,¿No será esta mi nueva compañera?,,,,,,
NURSE_01_A_03,"Welcome, darling! You have no idea how long I've been waiting for you","¡Bienvenida, cariño! No sabes lo mucho que te he estado esperando…",,,,,,
NURSE_01_A_04,"Running this place, taking care of this filth all on my own…"," Llevar este sitio, cuidar a esta gentuza yo sola…",,,,,,
NURSE_01_A_05,"Truth is, it was starting to get more than a little overwhelming",La verdad ya se me estaba haciendo por demás de complicado,,,,,,
NURSE_01_A_06,It's a pleasure to have you with me... At last,"Es un placer tenerte conmigo, por fin…",,,,,,
NURSE_01_A_01_B,"What's up, sweetheart? Aren't you sleepy?",¿Qué pasa corazón? ¿No tienes sueño?,,,,,,
NURSE_01_A_02_B,"Go lie down, I'll tidy all this up","Vete a echarte, ya recojo yo todo esto…",,,,,,
NURSE_01_A_Q1,Where am I? What is this place?,¿Dónde estoy? ¿Qué es este sitio?,,,,,,
NURSE_01_A_Q1_001,"Where? Honestly, I don't think this place has a name","¿Dónde? La verdad, no creo que este sitio tenga un nombre",,,,,,
NURSE_01_A_Q1_002,"You're in the residence, you can call it that","Estás en la residencia, puedes llamarlo así",,,,,,
NURSE_01_A_Q1_003,"This is going to be your new workplace, sweetheart. I hope you come eager...","Este va a ser tu nuevo lugar de trabajo, corazón. Espero que vengas con ganas…",,,,,,
NURSE_01_A_Q2,Who are you?,¿Quién eres tú?,,,,,,
NURSE_01_A_Q2_001,"Well, apparently I'm your supervisor","Bueno, al parecer, soy tu supervisora…",,,,,,
NURSE_01_A_Q2_002,"I don't like the word 'boss,' but I'll be in charge while you get used to this","No me gusta la palabra “jefa”, pero estaré al cargo en lo que te haces a todo esto",,,,,,
NURSE_01_A_Q2_003,You can call me Lynda,Puedes llamarme Lynda,,,,,,
NURSE_01_A_Q3,Why am I here?,¿Por qué estoy aquí?,,,,,,
NURSE_01_A_Q3_001,"Ah, sweetheart, that's the question of the century","Ay, corazón, esa es la pregunta del siglo",,,,,,
NURSE_01_A_Q3_002,"It's what everyone asks, although we all know the answer","Es la que todo el mundo hace, aunque todos sabemos la respuesta",,,,,,
